サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"Japan Container Days","jacopen","ConcourseCI,Container,Days,GitOps,Helm,Japan,Kubernetes,Microservices,Nuxt,Spinnaker,Terraform,js,showKs,v,アプリ,クラウドネイティブ","昨年12月に開催されたコンテナ技術のイベント "Japan Container Days v18.12" の主催者企画『showKs』 クラウドネイティブ時代のインフラ運用およびアプリ開発のショーケースを目指して行われたこの企画は、100人を超える参加者でマイクロサービスアプリケーションを作り、それをKubernetes上で稼働させるという大きなものとなりました。今回は、そのshowKsの技術的な解説本を頒布します。解説している技術スタック: Kubernetes / Terraform / Helm / Microservices / ConcourseCI / Spinnaker / GitOps / Nuxt.js","https://techbookfest.org/event/tbf06/circle/56220002","http://containerdays.jp","う50"
"すべてがM(icro)になる","ota42y","Mesh,MicroFrontend,Service","マイクロサービスにかんするよろず本　第３弾です。マイクロサービスに関する本や、Service Mesh、MicroFrontend等を予定しています。","https://techbookfest.org/event/tbf06/circle/60290003","https://ota42y.com/","う51"
"ComPandemic","btk","OSS,OpenStack,pi,raspberry,アプリ,クラウドコンピューティング","クラウドコンピューティングのためのOSSであるOpenStackを題材に様々なことを試しています。raspberry pi をOpenStackで管理するなど、現在はインフラ周りの管理を中心に行っていますが今後はそのインフラ上で動かすアプリも検討していく予定です。","https://techbookfest.org/event/tbf06/circle/38190002","","う52"
"うなぎ式","yuukin","ESXi,LXD,Redfish,VMware,netns","サーバ・ネットワークインフラ全般に関する内容を主としています。VMware ESXiの解説やLXDコンテナ、netnsによる仮想ネットワークの操作、Redfishを利用した物理サーバ管理などなどです。","https://techbookfest.org/event/tbf06/circle/56510002","","う53"
"萌えるEIT倶楽部","EcCh@n","OSS,プロプライエタリ・","エンタープライズでも使われているハードウェア製品・ソフトウェア製品（プロプライエタリ・OSS）・サービス（クラウドなど）を使ったノウハウを紹介します。","https://techbookfest.org/event/tbf06/circle/36190003","https://www.sprout-eit.club/","う54"
"ssmjp 同人部","ssmjpドウジンブ","ssmjp","インフラ・運用をメインテーマとする街角勉強会 #ssmjp の有志による同人誌サークルです。 様々な「運用」に関する合同誌を頒布します。","https://techbookfest.org/event/tbf06/circle/54760004","https://ssmd.pkan.org/","う55"
"ファーザーシステム","kyadet","TIPS",""エンジニアの一生"という技術系TIPSを集めた闇鍋TIPS集を出しています。新刊として"エンジニアの一生#2"を持ち込み予定です。","https://techbookfest.org/event/tbf06/circle/59890001","http://furthersystem.com","う56"
"G Storm","tasario","レイヤー","レイヤー2、レイヤー3スイッチをソフトウェアで実装したソフトウェアスイッチについての解説や、ホワイトボックススイッチについての解説本を発行しています。","https://techbookfest.org/event/tbf06/circle/56020002","http://tasario.sakura.ne.jp","う57"
"Yds","みてい","","2017年度(2018年2月測定)の各社ガイドライン測定結果の評論　そのほか携帯電話の技術(低位レイヤ)について","https://techbookfest.org/event/tbf06/circle/67970003","https://blogs.yahoo.co.jp/miteigi_san","う58"
"あれくま","kumaryu","Flash,MSBuild,RTMP,デファクトスタンダード","元はFlashの通信プロトコルでありながら、動画配信において配信元からサーバーへの動画送信のデファクトスタンダードになっているRTMPについて詳細を解説する本を出します。既刊のライブ動画配信のプロトコル概説本「ライブ配信のなかみ」と、MSBuildの使い方解説本「手で書くMSBuild」も持ち込みます。","https://techbookfest.org/event/tbf06/circle/61820003","https://www.kumaryu.net/books.html","う59"
"Develup","@Clorets8lack","","ネットワーク技術に関するクックブック","https://techbookfest.org/event/tbf06/circle/52340002","","う60"
"YUKARI Semiconductor Devices","萱沼真一・北沢紘一","","本職の技術屋が本気で電子工作をした結果レポート及び無線系国家資格受験に役立つ体験記他","https://techbookfest.org/event/tbf06/circle/63900001","","う61"
"お台場計算尺","とみながだいすけ","Julia,RStudio,キャンプ,スマホ","今回は新刊３と既刊３。すべて紙＆電子のセット（商業誌除く）。新刊はスマホでＲ、RStudio での堅実な解析作業の入門、その Julia 版コードと解説。あとは既刊の計算尺の原理、設計法、製作法、歴史の本とキャンプの暖房シミュレーション本。","https://techbookfest.org/event/tbf06/circle/33970004","https://sliderule.booth.pm/","う62"
"じがへるつ工房","Tomo","C,Charge,PD,Quick,Type,USB","Type-CやUSB-PD、Quick ChargeなどUSB規格の雑記帳と、電話交換機の仕組本","https://techbookfest.org/event/tbf06/circle/67750002","https://twitter.com/10mozet","う63"
"Project C.G.S.","mohammedari","MBZIRC,booth,capygs,https,pdf,pm","つくばチャレンジという屋外自律移動ロボットコンテストに、10年近く参加し続けている社会人サークルです。近年はMBZIRCというドローンの自律飛行大会にも出場しました。実環境で動くロボットのアルゴリズムや、大会を通しての経験について掘り下げる本を頒布する予定です。ハードウェアについても紹介するかもしれません。 書籍は後日、https://capygs.booth.pm にてpdf版を販売する予定です。","https://techbookfest.org/event/tbf06/circle/64270002","http://www.capygs.org/","う64"
"はましぎじゅつ","はましぎ","MD,モータードライバ,ロボコン","ロボコン等で使用するモータードライバの作り方の本です！各種部品選定，熱設計等を超詳細に解説するよ！ 君も明日からMDを作れる！","https://techbookfest.org/event/tbf06/circle/67540003","https://hamashigi.hatenablog.com/","う65"
"TY製作所","吉野","D","3Dプリンター及びレーザー加工機の取り扱いや造形物について機械ごとにまとめた漫画本あるいは解説本","https://techbookfest.org/event/tbf06/circle/58040002","https://twitter.com/takayoshino0129","う66"
"PB Make部","kumak1","Arduino,Linux,M,Mac,MicroPython,Stack,UIFlow,Windows,ビギナー,ビジュアルプログラミング,フィットネス","M5Stack について、Windows / Mac / Linux それぞれの開発環境構築と、Arduino / MicroPython / UIFlow を用いたプロダクト開発について、実際に作成しながら解説します。二酸化炭素量を計測して作業環境改善、ボクシングミットと組み合わせてフィットネス、UIFlowでお子さんとビジュアルプログラミング、など他にも取り揃えています。ビギナーの入門用、エキスパートの備忘録、M5Stackの布教用に1冊いかがでしょうか。","https://techbookfest.org/event/tbf06/circle/71750007","https://medium.com/pbmake","う67"
"M5Staff","M5Staff","M,Stack","今話題のM5Stackを多方面に使い倒す同人誌の2冊目を頒布します","https://techbookfest.org/event/tbf06/circle/40250005","https://www.facebook.com/M5Staff/","う68"
"北南書房","ししかわ","Go,M,Stack","物理エンジン、M5Stack、組版ソフト、Go言語など雑多に書きます","https://techbookfest.org/event/tbf06/circle/44840003","","う69"
"aNo研","aNo研","IOT,LINE,M,ROS,Stack,プリン・ア・ラート","せっかく楽しみに取っておいたプリンが食べられてしまった！ 楽しみに取っていたものがなくなってしまうことの悲しさは、筆舌に尽くしがたいものがありますね。 本書「プリンを守る技術」は、そんなご家庭の平和へ忍び寄る危機を円満に解決してくれるデバイス「プリン・ア・ラート」を通して、「M5Stack」でロボットを開発する技術や、LINE/ROS2連携などIOTにかかわる技術の習得ができます。","https://techbookfest.org/event/tbf06/circle/71440001","https://anoken.jimdo.com/","う70"
"farmtory-lab","むらさき","D,M,Stack,mssknd,obniz,with,：@","自分のものを自分で作るwithテクノロジーな活動で作ったものや作り方の話。3Dプリントについて,obnizでの植物育成環境の計測,M5Stack,コーヒー焙煎機の自作や養蜂、低温調理器、異世界転生小説など。サークルカット：@mssknd","https://techbookfest.org/event/tbf06/circle/69560002","https://note.mu/murasaki/m/meffc4264a313","う71"
"MPM","mpm","Ｐａｐｅｒ,Ｒｏｂｏｔｉｃｓ","紙を材料としたロボットの二足歩行に至る進化と原理及び作り方等をＰａｐｅｒ　Ｒｏｂｏｔｉｃｓとして紹介します。","https://techbookfest.org/event/tbf06/circle/38360001","http://www.geocities.jp/kikousya290821/newmpm.htm","う72"
"flying gears","Attun","NHK,ロボコン","ロボット工学・ロボット競技 / 高等専門学校連合会、NHK、NHKエンタープライズ主催のアイデア対決・全国高等専門学校ロボットコンテスト、通称「高専ロボコン」について非公式な大会総合誌です。大会に参加する学生から、参加したことのある卒業生、テレビで見たことのある方、まだ知らない方まで、一通りカバーする内容で制作しています。","https://techbookfest.org/event/tbf06/circle/59840002","https://flyinggears.hatenablog.jp/","う73"
"Mろーず","からす","","かわさきロボット競技大会出場ロボットに関する技術本","https://techbookfest.org/event/tbf06/circle/40050006","http://page.mixi.jp/view_page.pl?page_id=82547","う74"
"アーカム研究所","michele_lap","EV,IBM,IoT,LEGO,Watson","ロボット制御，LEGO EV3，機械学習（IBM Watson），IoT，などの各種成果をまとめた合同誌","https://techbookfest.org/event/tbf06/circle/57970001","https://michele-lap.azurewebsites.net/arcam.html","う75"
"駄目駄耳団","みゃあ","","オーディオ　評論　その他","https://techbookfest.org/event/tbf06/circle/65810001","","う76"
"alpaca tech","たまろん、Akiemon","Fusion,GoogleAIY,Intel,RealSense,d","レーザーカッターでスマートスピーカーのケースを作ってみた。設計にはFusion360         GoogleAIYでスマートスピーカー          Intel RealSenseで3dスキャン","https://techbookfest.org/event/tbf06/circle/69750009","alpaca-tech-3d.com","う77"
"NOID本製作委員会","show,もっちー,岩屋雄介","Alexa,Amazon,Echo,NOID","スマートスピーカーであるAmazon Echoシリーズにて動作するAlexaのスキルを、ノンプログラミングでつくることができる制作ツール「NOID」に関する技術書","https://techbookfest.org/event/tbf06/circle/54700004","https://www.noid.ai/","う78"
"Secure旅団","ken5scal(鈴木研吾)","Web,Wow,エモ,レガシー","「こういうセキュリティもあるんだぜ！」という著者の思いを読者に届け、「お、こういうセキュリティもあるんだ！」というWowと新しい知識を少しでも多くお届けする同人誌を作ります。セキュリティであればジャンルに拘らずバイナリからWeb、機械学習からレガシー、設計からエモ内容など様々な内容を提供します。","https://techbookfest.org/event/tbf06/circle/54310004","","え01"
"きじゃくせい","ごぼてん","ATT,CK,コミケ","コミケで頒布したコンピュータセキュリティに関するコラムです。すいません、ATT&CKの本は落としてしまいました。","https://techbookfest.org/event/tbf06/circle/44470002","","え02"
"KUGIBAKO","kgmyshin","エニグマ","暗号機エニグマの仕組みについて解説しながら、ソフトウェアでシミュレーションしてみたいと思います","https://techbookfest.org/event/tbf06/circle/46200001","https://kgmyshin.booth.pm/","え03"
"ミライ・ハッキング・ラボ","ミライ・ハッキング・ラボ","BadUSB,Web,ハッキング・ガジェット","ハッキング・ガジェット（BadUSB）、Webセキュリティ（脆弱性分析）に関する本を頒布します。","https://techbookfest.org/event/tbf06/circle/58200001","","え04"
"Allsafe","er28-0652","Blue,Ethereum,Go,PowerShell,Team,スマートコントラクト","「Go言語バイナリ解析」「Ethereumスマートコントラクト解析」「Blue TeamのためのPowerShell解析」の解析3本立て！","https://techbookfest.org/event/tbf06/circle/48270004","https://allsafe.booth.pm/","え05"
"SCHEMANEKO","クロネ　コナミ","IT","情報セキュリティを題材としたライトノベルと、対ITオンチ理論武装ノウハウ集です。","https://techbookfest.org/event/tbf06/circle/42210002","","え06"
"Auth屋","Auth屋","OAuth,｡,､","OAuth2.0について理解が曖昧なエンジニアがこの本を読むことで､その必要性､関連用語を簡単におさらいできる本です｡","https://techbookfest.org/event/tbf06/circle/40430007","https://www.authya.com","え07"
"もとほんや","watahani","Connect,FIDO,Nuxt,OpenID,Rails,Ruby,Web,WebAuthn,by,corocn,js,on,reader,shiroica,super,アプリケーションフレームワーク","WebAuthn に関する合本 (Ruby on Rails + Nuxt.jsを使ったパスワードレス認証の実装 by corocn /  WebAuthnライブラリ、Webアプリケーションフレームワーク、アプリケーション。それぞれの責務 by shiroica / FIDOとOpenID Connectの関係について by super_reader / ブロックチェーン技術でデバイスロスに対抗する)","https://techbookfest.org/event/tbf06/circle/67920001","","え08"
"泥酔工具箱","六角 Q レンチ","BLACK,C,CTF,LAGOON,Omake,hex,html,http,q,site,wrench,サイバーセキュリティ","漫画BLACK LAGOONで学ぶサイバーセキュリティ　サイバーセキュリティ、情報セキュリティについて、漫画BLACK LAGOONを題材に学べます。表紙が青いほうが既刊、赤いほうが新刊です。既刊は「解けたら無料キャンペーン」やってます。http://hex-q-wrench.site/C95_Omake.html  いわゆるCTFです。","https://techbookfest.org/event/tbf06/circle/61680005","hex-q-wrench.booth.pm","え09"
"morihi-soc","もりひー","サイバー,ハニーポット","セキュリティ技術の1つであるハニーポット(サイバー攻撃を観測するシステム)で得たログを分析した結果をまとめた技術書を頒布する予定です。","https://techbookfest.org/event/tbf06/circle/69740001","https://www.morihi-soc.net/","え10"
"バイナリイーター","ZickZack","","バイナリ解析に基づくバグ検査の基礎","https://techbookfest.org/event/tbf06/circle/61920005","","え11"
"Webサービス作り隊","加藤泰明","","新刊を2冊出します。","https://techbookfest.org/event/tbf06/circle/54300001","","え12"
"えぬえす工房","NV","IoT","主に市販製品に対するハード・ソフト両方の面からの分解・解析・改造や、IoTセキュリティに関する本を出しています","https://techbookfest.org/event/tbf06/circle/36260010","https://www.ns-koubou.com/","え13"
"脆弱性診断研究会","nilfigo","JDK,Java,OWASP,ZAP","オープンソースの脆弱性診断ツール「OWASP ZAP」を使い倒すためのノウハウをまとめた書籍です。Java（JDK）やOWASP ZAPのインストール手順から解説しているため、脆弱性診断やOWASP ZAPの初心者でも安心です！","https://techbookfest.org/event/tbf06/circle/71460001","https://www.facebook.com/groups/zeijakusei.shindan.kenkyukai/","え14"
"試衛館","dandan_611","","テストモデリング、セキュリティ技術についての解説本を頒布予定です。","https://techbookfest.org/event/tbf06/circle/64060001","https://sites.google.com/site/jinkoupengin/","え15"
"take a party","takapaty","Android,OpenIDConnect,iOS","OpenIDConnectベースの認証基盤との認証機能をAndroid/iOS向けにライブラリ化して自社内に配った話。","https://techbookfest.org/event/tbf06/circle/38470002","","え16"
"IoTSecJP","IoTSecJP","IoT","IoTセキュリティについての本を売ります！","https://techbookfest.org/event/tbf06/circle/58190001","http://ruffnex.net/iotsecjp/","え17"
"おからぼ","おかしん","","ゼロトラストとの概念を分かりやすく噛み砕いた本「ゼロトラスト超入門」と、何かを「始めて」「続ける」為のノウハウが詰まった「はじめる技術つづける技術」を頒布します。","https://techbookfest.org/event/tbf06/circle/58310004","","え18"
"Cryptic Command","sylph01","DNS,SMTP,VCS","新刊予定: DNS技術をセキュリティ・プライバシーの観点から解説する本 / 既刊(物理): コンピュータ科学の学生向け入門書 / 既刊(電子): 技術書典4で頒布したSMTP本と技術書典5で頒布したVCSの本","https://techbookfest.org/event/tbf06/circle/56280001","https://cryptic-command.net/","え19"
"Alice's Atelier","かたわれ","RSA,SP,ツイート","RSA暗号とツイート分析、SP800-53,171とクラウド標準規格","https://techbookfest.org/event/tbf06/circle/40160004","","え20"
"ハロー！旅に出よう","ペンネームはまだ無い","Azure","Azure入門、クラウド入門","https://techbookfest.org/event/tbf06/circle/44730003","","え21"
"Azureもくもく会@東京","kingkino","Azure,Microsoft,Paas,Saas","Microsoft Azureについて最新技術や情報を記載します。Paas・Saasをメインに基本的な操作や監視について情報発信します。","https://techbookfest.org/event/tbf06/circle/36090002","https://azure-moku2.connpass.com/","え22"
"castaneai","castaneai","App,Engine,Google,Web,゙,゙に,゚,アフ,サーヒ,ス,リ","App Engine というGoogleから提供されているWebアプリ運用サービスを使って実用的なWebアプリをいい感じに開発する方法を解説した本です。","https://techbookfest.org/event/tbf06/circle/38080007","https://twitter.com/castanea","え23"
"味噌とんトロ定食","しゅういちろ","CTF,Cloud,Functions,Go,Google,Windows,クラッキング","CTFに参加に必要なクラッキング技術の紹介、Google Cloud FunctionsをGo言語で作ってみよう、Windows10標準ソフトだけで本を作る","https://techbookfest.org/event/tbf06/circle/34050001","","え25"
"ブッチャーソフトウェア","イマジナリーフレンド・アローザ in サメジ部長","AWS,GCP,Youtuber","脳内に住んでいるバーチャルYoutuberが精神世界にAWSやGCPのようなクラウドを構築する方法のノウハウの本です。本物のクラウドとの対比なども行います。","https://techbookfest.org/event/tbf06/circle/52360008","http://samezi-but.com/aroza.html","え26"
"サーバ擬人化ユーザ会","せちろー","AWS","インフラエンジニアにまつわるボードゲーム、AWS関連の技術本を出す予定","https://techbookfest.org/event/tbf06/circle/65780001","https://sites.google.com/site/sgijinka/","え27"
"六木本未来ラボ","六木本未来ラボ所属研究員一味","AWS","AWS脱初心者向け記事をいくつかのテーマで掲載します！","https://techbookfest.org/event/tbf06/circle/34330004","","え28"
"未来進化ラボ","saikachism","AWS","AWS認定資格試験に挑戦する際の学習方法やポイントを解説しています。 脳科学や心理学のテクニック、猫も駆使して、心折れずにAWSの学習を続けていく方法と体験談もまとめています。","https://techbookfest.org/event/tbf06/circle/67890002","","え29"
"メメメモモ","ウチコ","API,AWS,SAM,web","AWS SAMでweb APIを実装する方法を漫画付きで解説","https://techbookfest.org/event/tbf06/circle/40470002","https://twitter.com/memememomo","え30"
"Kinyou_benkyokai","lailaiskyn","CTF,RocksDB,レニー","RocksDB/CTF/レニー","https://techbookfest.org/event/tbf06/circle/65650001","https://kinyoubenkyokai.github.io/book/techbook06/","え31"
"杜の都の開発室","太鼓","Custom,Invent,Lambda,PHP,Runtime,re","昨年のre:Inventで発表されたLambda Custom Runtimeを、みんな大好きPHPと組み合わせて遊んでみる本です。そもそもの使いかたや、各種フレームワークを動かしてみた結果などについて書く予定です。。","https://techbookfest.org/event/tbf06/circle/54690004","https://blog.taiko19xx.net/entry/2019/03/19/193446","え32"
"umitsuki","minamo","AWS,CodePipeline,ブログサイト","AWSのサービス（CodePipeline）を使ってお手軽に自前のブログサイトを運用する方法について紹介する本を頒布予定です。","https://techbookfest.org/event/tbf06/circle/67600001","","え33"
"ヤバイテックトーキョー","ヤバイテックトーキョー","AWS","コンピュータサイエンスの様々な分野(= 定理証明、型システム、マイクロカーネル、AWS、オートマトン)","https://techbookfest.org/event/tbf06/circle/63840002","http://yabaitech.tokyo","え34"
"楽描帳","nasum","AWS,CI,CircleCI,Docker,GitHub,デプロイ","GitHub CircleCI Docker AWSを利用してCIからコンテナのデプロイまでこの本を写経すれば一通り出来る本を書く予定です。","https://techbookfest.org/event/tbf06/circle/67540002","https://www.chirashiura.com/entry/2019/03/24/235804","え35"
"めもおきば","Aki@nekoruri","Serverless,Vol,ssmjp,コミ","クラウドとセキュリティをテーマにしたコラム本を配布します。冬コミで発行した「総集編Vol.1」のほか、アップデート版「Serverlessを支える技術 第3版」と、新刊としてリアルタイムストリーム処理の解説本を出す予定です。 う55「ssmjp 同人部」もよろしくです。","https://techbookfest.org/event/tbf06/circle/58350004","https://d.nekoruri.jp/","え36"
"NP-complete","まさらっき","AWS,Lambda,Ruby","RubyでAWS Lambda","https://techbookfest.org/event/tbf06/circle/63970001","","え37"
"心黒率400%","notman","AWS,Azure,Cache,DB,OSS,Redis,マネージドサービス","AWS や Azure などのクラウド上で展開される OSS マネージドサービスの比較や検証結果、利用パターンについてのまとめ本です。各種 DB や Redis Cache 等","https://techbookfest.org/event/tbf06/circle/56510003","","え38"
"Gravity Pianist","ひゃた","AWS,Amazon,DynamoDB,NoSQL","AWSの提供するNoSQLデータベースサービスAmazon DynamoDBのテーブル設計手法についてまとめた本です。","https://techbookfest.org/event/tbf06/circle/34320001","http://www.gravitypianist.info/","え39"
"はてな技術書典部","はてなエンジニア","","はてなのエンジニアがはてなのプロダクトを支える技術や、個人的に気になる技術について書きます","https://techbookfest.org/event/tbf06/circle/71730007","https://developer.hatenastaff.com/","え40"
"GetFEM++","tkoyama010","C,GetFEM,Matlab,Python,Scilab","GetFEM++ は Python, Matlab そして Scilabのインタフェースを使用可能なC++の汎用有限要素法ライブラリです。このライブラリの目的は有限要素法を用いて線形および非線形偏微分方程式を解くためのフレームワークを提供することです。有限要素近似や数値積分法の選択の柔軟性が特徴の一つです。","https://techbookfest.org/event/tbf06/circle/67540004","https://tkoyama010.github.io/getfem-docs-html-ja","お01"
"仮空制御研究室","白","","システム同定について理論と実機実装及びその応用","https://techbookfest.org/event/tbf06/circle/60350012","","お02"
"Math Relish","α","calculus,fractional","可積分系とマクドナルド多項式についてまとめた書と，位相空間論の導入についてまとめた書の二つが主な頒布物，これらに加えて熱力学ポテンシャルと三角関数の記憶術に関する書．余力があれば，非整数階の微積分 (fractional calculus) についてまとめた書も頒布する．","https://techbookfest.org/event/tbf06/circle/67560004","https://mathrelish.com/","お03"
"docker-machine","@enakai00/@_dr_asa","","いろいろな分野でつかわれている数学をゆるふわな雰囲気で紹介します","https://techbookfest.org/event/tbf06/circle/71540003","","お04"
"守株舎","畑蛤","N,THD","フーリエ変換後のデータからTHD、THD+N等を算出する方法。窓関数を使用したときの補正方法も解説。","https://techbookfest.org/event/tbf06/circle/44810002","","お05"
"不思議の国の入巣次元","いりす","AR,TSP,チャットボット,ハック","情報工学系合同誌！　おうちハック、AR+チャットボット、TSPなどを収録予定！","https://techbookfest.org/event/tbf06/circle/69600001","https://irisuinwl.hatenablog.com/","お06"
"うぉーたーくろーぜっと","べんき","","統計的因果推論の基礎について短く書きます。","https://techbookfest.org/event/tbf06/circle/65710002","https://ben-key.hatenablog.com","お07"
"森北出版","森北出版","AI,PC","逆数学,一般相対論,データ分析・AIのビジネス導入,パターン認識,定理証明,PCクラスタ","https://techbookfest.org/event/tbf06/circle/59870002","https://www.morikita.co.jp/","お08"
"慶應義塾大学宇宙科学総合研究会LYNCS","LYNCS","CanSat,LYNCS","宇宙科学総合研究会LYNCSは、CanSat大会への出場などを行う本部、天体観測などを行う本部、数学や物理学の勉強会を行う本部など、色々な活動を行う本部が集まって出来ています。今回は、それらの本部の活動の報告・紹介などを行なった部誌の頒布を予定しております。","https://techbookfest.org/event/tbf06/circle/65820005","https://lyncs-keio.net","お09"
"アトリエωうさぎ","ωうさぎ","cc,キャブ,レストア","バイク整備、旧車、キャブ、レストア、公道復帰、90cc","https://techbookfest.org/event/tbf06/circle/52260002","https://twitter.com/atelier_wu","お10"
"ちりめん王国","ききぉ","","放射線技師さんがつけている被ばく量を測定するバッチ（個人用線量計）やウランやプルトニウムなどの核燃料物質を臨界させない方法について解説","https://techbookfest.org/event/tbf06/circle/61900001","https://twitter.com/munimuni0071","お11"
"早稲田大学地学愛好会","AGT","","地球科学の参考書および測量についてまとめた本","https://techbookfest.org/event/tbf06/circle/67830001","https://twitter.com/chigakuaikou_w","お12"
"ナンパナクララ","ナンパナクララ代表","qgis","地図技術,qgis,ルート探索","https://techbookfest.org/event/tbf06/circle/58130001","","お13"
"techForMobility","techForMobility",")、,GTFS,JP,ODPT","日本における公共交通機関のオープンデータについて、これまでの経緯やそこに使われているフォーマット(GTFS-JPとODPT)、それらの活用方法、サンプルコードの解説を書きます。","https://techbookfest.org/event/tbf06/circle/60350002","","お14"
"Nyanko sensei","跡池","","公共で公開されている微生物ゲノム情報をどのようにプログラミングやソフトウェアを使って解析していくかをまとめた本になります。","https://techbookfest.org/event/tbf06/circle/34280003","","お15"
"悪魔の視覚研究所","tttttahiti","","弊サークルでは人間の持つインタフェースの中でも最も情報量の多い視覚をテーマとした研究をしています。今回は特に色にまつわるテーマでの執筆を予定しております。","https://techbookfest.org/event/tbf06/circle/52380006","","お16"
"ほしがたタイムカプセル","くゎ","NVDA","(新刊)NVDA入門、(既刊)視覚障害のサポート技術紹介、DAISY作ってみた本","https://techbookfest.org/event/tbf06/circle/44780003","","お17"
"さかさまダイアリー","もひもひ","","情報処理技術者試験の対策本です","https://techbookfest.org/event/tbf06/circle/67680001","http://mohi.hateblo.jp/","お18"
"これなりハウス","これなり","","国立国会図書館の採用試験（情報工学）の考察本の頒布いたします。同試験では「アルゴリズムとデータ構造」や「確率統計」を扱っており、本誌を通じてコンピュータ科学の学習に資することができると考えております。","https://techbookfest.org/event/tbf06/circle/41980005","https://twitter.com/Korenari_D","お19"
"電気羊","もっさん，はぎえもん","...」,CTF,IT,Shell,docker,natas","（1冊目）常設のCTF、natasの1〜20問目までを解説した本「ほぼ初期装備で解くCTF」を技術書典5で配布した。今回は21問目以降をほぼShellで解き解説した本を書きます。（2冊目）「IT何もわからない...」という状態で社会人になってしまい途方に暮れている方向けに多くの職種、現場で必要になると思われる、オブジェクト指向設計、要求仕様(ユースケース)の書き方、論理アーキテクチャなどについての内容を解説する本を書きます！（3冊目）docker本、既刊です。","https://techbookfest.org/event/tbf06/circle/71740002","https://twitter.com/kryptos_nv","お20"
"ヴォイニッチの科学書購買部","おびお","ポッドキャスト,ヴォイニッチ","最新科学情報ポッドキャスト番組「ヴォイニッチの科学書」で2017年、2018年に紹介した化学の話題をそれぞれ1冊の本にまとめました。また別冊として「超新星残骸」「人工衛星100-125」も頒布します。","https://techbookfest.org/event/tbf06/circle/56050003","http://obio.blog.fc2.com/","お21"
"貴とみーつ","みーつ","","コードリーディングの本です。ソフトウェアのソースコードの読み方や読んだ感想などをまとめます。","https://techbookfest.org/event/tbf06/circle/63990001","","お22"
"YFF工房","YF-211","","海洋工学、造船工学を紹介しているサークルです。","https://techbookfest.org/event/tbf06/circle/46500004","https://twitter.com/yf211","お23"
"はんままにあ","mmer547","OpenFOAM,ParaView","ひとつは技術書展5で配布した流体解析オープンソース「OpenFOAM」の本についての続刊です。もうひとつは可視化ソフト「 ParaView」 の使用方法、スクリプト実行などをまとめた本です。","https://techbookfest.org/event/tbf06/circle/36080001","https://note.mu/mmer547","お24"
"はなごよみ","押井徳馬","IME,ゑ","過去文献の引用や文芸活動等で必要な事がある、歴史的仮名遣に特化したかな漢字変換システムを制作するプロジェクトを始めました。今回は「序章」として、現行のIMEの問題点と求められる機能（「ゐ・ゑ」の入力対応、「ゐ・ゑ・を」で始まる語の変換や四段・上二段・下二段活用等の対応、現代仮名遣いによる変換候補の抑制等）をまとめ、オープンソースのIMEを改造してどう制作するのかの設計案をまとめた冊子を発行予定です。","https://techbookfest.org/event/tbf06/circle/38320002","https://osito.jp/dojin/","お25"
